"Year","Month","Day","Extent","Missing","hemisphere"
2009,3,3,3.287,0,"south"
2009,3,4,3.399,0,"south"
2009,3,5,3.475,0,"south"
2009,3,6,3.532,0,"south"
2009,3,7,3.64,0,"south"
2009,3,8,3.719,0,"south"
2009,3,9,3.694,0,"south"
2009,3,10,3.757,0,"south"
2009,3,11,3.907,0,"south"
2009,3,12,3.9,0,"south"
2009,3,13,3.982,0,"south"
2009,3,14,4.171,0,"south"
2009,3,15,4.205,0,"south"
2009,3,16,4.331,0,"south"
2009,3,17,4.421,0,"south"
2009,3,18,4.563,0,"south"
2009,3,19,4.894,0,"south"
2009,3,20,4.997,0,"south"
2009,3,21,4.981,0,"south"
2009,3,22,4.984,0,"south"
2009,3,23,5.088,0,"south"
2009,3,24,5.136,0,"south"
2009,3,25,5.204,0,"south"
2009,3,26,5.365,0,"south"
2009,3,27,5.519,0,"south"
2009,3,28,5.564,0,"south"
2009,3,29,5.751,0,"south"
2009,3,30,5.881,0,"south"
2009,3,31,5.982,0,"south"
2009,4,1,6.072,0,"south"
2009,4,2,6.146,0,"south"
2009,4,3,6.277,0,"south"
2009,4,4,6.385,0,"south"
2009,4,5,6.49,0,"south"
2009,4,6,6.584,0,"south"
2009,4,7,6.688,0,"south"
2009,4,8,6.787,0,"south"
2009,4,9,6.934,0,"south"
2009,4,10,7.09,0,"south"
2009,4,11,7.31,0,"south"
2009,4,12,7.465,0,"south"
2009,4,13,7.661,0,"south"
2009,4,14,7.785,0,"south"
2009,4,15,7.89,0,"south"
2009,4,16,7.998,0,"south"
2009,4,17,8.082,0,"south"
2009,4,18,8.185,0,"south"
2009,4,19,8.246,0,"south"
2009,4,20,8.388,0,"south"
2009,4,21,8.502,0,"south"
2009,4,22,8.585,0,"south"
2009,4,23,8.707,0,"south"
2009,4,24,8.809,0,"south"
2009,4,25,8.923,0,"south"
2009,4,26,9.061,0,"south"
2009,4,27,9.133,0,"south"
2009,4,28,9.211,0,"south"
2009,4,29,9.281,0,"south"
2009,4,30,9.28,0,"south"
2009,5,1,9.339,0,"south"
2009,5,2,9.438,0,"south"
2009,5,3,9.534,0,"south"
2009,5,4,9.641,0,"south"
2009,5,5,9.747,0,"south"
2009,5,6,9.895,0,"south"
2009,5,7,10.004,0,"south"
2009,5,8,10.119,0,"south"
2009,5,9,10.239,0,"south"
2009,5,10,10.323,0,"south"
2009,5,11,10.426,0,"south"
2009,5,12,10.596,0,"south"
2009,5,13,10.727,0,"south"
2009,5,14,10.844,0,"south"
2009,5,15,10.944,0,"south"
2009,5,16,11.036,0,"south"
2009,5,17,11.178,0,"south"
2009,5,18,11.204,0,"south"
2009,5,19,11.23,0,"south"
2009,5,20,11.289,0,"south"
2009,5,21,11.316,0,"south"
2009,5,22,11.395,0,"south"
2009,5,23,11.514,0,"south"
2009,5,24,11.671,0,"south"
2009,5,25,11.83,0,"south"
2009,5,26,11.972,0,"south"
2009,5,27,12.034,0,"south"
2009,5,28,12.171,0,"south"
2009,5,29,12.313,0,"south"
2009,5,30,12.337,0,"south"
2009,5,31,12.392,0,"south"
2009,6,1,12.44,0,"south"
2009,6,2,12.529,0,"south"
2009,6,3,12.66,0,"south"
2009,6,4,12.744,0,"south"
2009,6,5,12.839,0,"south"
2009,6,6,12.937,0,"south"
2009,6,7,13.041,0,"south"
2009,6,8,13.179,0,"south"
2009,6,9,13.375,0,"south"
2009,6,10,13.557,0,"south"
2009,6,11,13.629,0,"south"
2009,6,12,13.666,0,"south"
2009,6,13,13.733,0,"south"
2009,6,14,13.866,0,"south"
2009,6,15,13.928,0,"south"
2009,6,16,13.965,0,"south"
2009,6,17,14.08,0,"south"
2009,6,18,14.223,0,"south"
2009,6,19,14.293,0,"south"
2009,6,20,14.415,0,"south"
2009,6,21,14.477,0,"south"
